TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	12/07/08
TIME	11:41:31
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-570, Rev. 1.00
RESOLUTION	
DELTAX	-2
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	1500.0000
LASTX	300.0000
NPOINTS	601
FIRSTY	0.88267
MAXY	0.88597
MINY	0.06427
XYDATA
1500.0000	88.267
1498.0000	88.273
1496.0000	88.339
1494.0000	88.203
1492.0000	88.372
1490.0000	88.395
1488.0000	88.335
1486.0000	88.457
1484.0000	88.443
1482.0000	88.419
1480.0000	88.289
1478.0000	88.484
1476.0000	88.428
1474.0000	88.597
1472.0000	88.547
1470.0000	88.514
1468.0000	88.375
1466.0000	88.519
1464.0000	88.531
1462.0000	88.403
1460.0000	88.479
1458.0000	88.543
1456.0000	88.459
1454.0000	88.328
1452.0000	88.385
1450.0000	88.369
1448.0000	88.262
1446.0000	88.349
1444.0000	88.243
1442.0000	88.19
1440.0000	88.246
1438.0000	88.197
1436.0000	88.016
1434.0000	88.114
1432.0000	87.99
1430.0000	87.924
1428.0000	87.837
1426.0000	87.962
1424.0000	87.776
1422.0000	87.592
1420.0000	87.585
1418.0000	87.576
1416.0000	87.488
1414.0000	87.329
1412.0000	87.249
1410.0000	87.208
1408.0000	86.976
1406.0000	87.05
1404.0000	86.88
1402.0000	86.827
1400.0000	86.583
1398.0000	86.597
1396.0000	86.385
1394.0000	86.352
1392.0000	86.246
1390.0000	86.053
1388.0000	85.997
1386.0000	85.777
1384.0000	85.678
1382.0000	85.58
1380.0000	85.494
1378.0000	85.435
1376.0000	85.299
1374.0000	85.211
1372.0000	85.029
1370.0000	85.061
1368.0000	84.89
1366.0000	84.869
1364.0000	84.805
1362.0000	84.795
1360.0000	84.667
1358.0000	84.623
1356.0000	84.688
1354.0000	84.661
1352.0000	84.575
1350.0000	84.504
1348.0000	84.56
1346.0000	84.45
1344.0000	84.48
1342.0000	84.398
1340.0000	84.421
1338.0000	84.449
1336.0000	84.484
1334.0000	84.35
1332.0000	84.385
1330.0000	84.311
1328.0000	84.417
1326.0000	84.341
1324.0000	84.33
1322.0000	84.245
1320.0000	84.342
1318.0000	84.272
1316.0000	84.155
1314.0000	84.257
1312.0000	84.195
1310.0000	84.144
1308.0000	84.129
1306.0000	84.105
1304.0000	84.03
1302.0000	84.025
1300.0000	84.055
1298.0000	84.089
1296.0000	83.976
1294.0000	84.024
1292.0000	84.052
1290.0000	83.943
1288.0000	83.894
1286.0000	83.933
1284.0000	83.957
1282.0000	83.882
1280.0000	83.921
1278.0000	83.898
1276.0000	83.87
1274.0000	83.722
1272.0000	83.84
1270.0000	83.821
1268.0000	83.819
1266.0000	83.774
1264.0000	83.778
1262.0000	83.72
1260.0000	83.716
1258.0000	83.716
1256.0000	83.722
1254.0000	83.724
1252.0000	83.706
1250.0000	83.696
1248.0000	83.619
1246.0000	83.671
1244.0000	83.636
1242.0000	83.612
1240.0000	83.672
1238.0000	83.676
1236.0000	83.607
1234.0000	83.573
1232.0000	83.567
1230.0000	83.625
1228.0000	83.594
1226.0000	83.579
1224.0000	83.632
1222.0000	83.558
1220.0000	83.46
1218.0000	83.499
1216.0000	83.565
1214.0000	83.493
1212.0000	83.486
1210.0000	83.478
1208.0000	83.433
1206.0000	83.438
1204.0000	83.451
1202.0000	83.468
1200.0000	83.386
1198.0000	83.398
1196.0000	83.353
1194.0000	83.342
1192.0000	83.275
1190.0000	83.285
1188.0000	83.236
1186.0000	83.171
1184.0000	83.214
1182.0000	83.194
1180.0000	83.135
1178.0000	83.014
1176.0000	83.059
1174.0000	82.967
1172.0000	82.955
1170.0000	82.92
1168.0000	82.941
1166.0000	82.869
1164.0000	82.8
1162.0000	82.797
1160.0000	82.785
1158.0000	82.767
1156.0000	82.674
1154.0000	82.674
1152.0000	82.546
1150.0000	82.593
1148.0000	82.543
1146.0000	82.471
1144.0000	82.424
1142.0000	82.392
1140.0000	82.298
1138.0000	82.189
1136.0000	82.248
1134.0000	82.199
1132.0000	82.193
1130.0000	82.132
1128.0000	82.08
