Date:	7/30/2012														
measured by:	Omer	 System:	ambient probe station												
measured at 65 watt. big cell corresponds to small grid. cells left under vacuum for one night															
Voltage [V]	Current [A]	Voltage [V]	Current [A]	Voltage [V]	Current [A]	Voltage [V]	Current [A]	Voltage [V]	Current [A]	Voltage [V]	Current [A]	Voltage [V]	Current [A]	Voltage [V]	Current [A]
 	.5 bg sc dark	 	.5 bg sc light	 	.5 sg bc dark	 	.5 sg bc dark	 	.4 bg sc dark	 	.4 bg sc light	 	.4 sg bc dark	 	.4 sg bc light
-1.0000	-1.75E-5	-1.0000	-5.46E-3	-1.0000	-5.77E-5	-1.0000	-8.59E-3	-1.0000	-1.98E-4	-1.0000	-4.22E-3	-1.0000	-2.18E-4	-1.0000	-3.85E-3
-0.9900	-1.70E-5	-0.9900	-5.46E-3	-0.9900	-5.61E-5	-0.9900	-8.58E-3	-0.9900	-1.84E-4	-0.9900	-4.20E-3	-0.9900	-2.14E-4	-0.9900	-3.84E-3
-0.9800	-1.67E-5	-0.9800	-5.46E-3	-0.9800	-5.48E-5	-0.9800	-8.62E-3	-0.9800	-1.53E-4	-0.9800	-4.20E-3	-0.9800	-2.11E-4	-0.9800	-3.84E-3
-0.9700	-1.64E-5	-0.9700	-5.46E-3	-0.9700	-5.37E-5	-0.9700	-8.64E-3	-0.9700	-1.55E-4	-0.9700	-4.20E-3	-0.9700	-2.07E-4	-0.9700	-3.83E-3
-0.9600	-1.61E-5	-0.9600	-5.45E-3	-0.9600	-5.29E-5	-0.9600	-8.61E-3	-0.9600	-1.45E-4	-0.9600	-4.19E-3	-0.9600	-2.04E-4	-0.9600	-3.83E-3
-0.9500	-1.58E-5	-0.9500	-5.45E-3	-0.9500	-5.20E-5	-0.9500	-8.60E-3	-0.9500	-1.46E-4	-0.9500	-4.21E-3	-0.9500	-2.01E-4	-0.9500	-3.82E-3
-0.9400	-1.55E-5	-0.9400	-5.46E-3	-0.9400	-5.11E-5	-0.9400	-8.58E-3	-0.9400	-1.38E-4	-0.9400	-4.20E-3	-0.9400	-1.97E-4	-0.9400	-3.83E-3
-0.9300	-1.53E-5	-0.9300	-5.44E-3	-0.9300	-5.03E-5	-0.9300	-8.58E-3	-0.9300	-1.34E-4	-0.9300	-4.18E-3	-0.9300	-1.94E-4	-0.9300	-3.82E-3
-0.9200	-1.50E-5	-0.9200	-5.44E-3	-0.9200	-4.96E-5	-0.9200	-8.59E-3	-0.9200	-1.32E-4	-0.9200	-4.19E-3	-0.9200	-1.91E-4	-0.9200	-3.81E-3
-0.9100	-1.48E-5	-0.9100	-5.43E-3	-0.9100	-4.88E-5	-0.9100	-8.59E-3	-0.9100	-1.25E-4	-0.9100	-4.18E-3	-0.9100	-1.88E-4	-0.9100	-3.81E-3
-0.9000	-1.46E-5	-0.9000	-5.42E-3	-0.9000	-4.81E-5	-0.9000	-8.64E-3	-0.9000	-1.19E-4	-0.9000	-4.18E-3	-0.9000	-1.85E-4	-0.9000	-3.81E-3
-0.8900	-1.44E-5	-0.8900	-5.42E-3	-0.8900	-4.74E-5	-0.8900	-8.63E-3	-0.8900	-1.14E-4	-0.8900	-4.18E-3	-0.8900	-1.82E-4	-0.8900	-3.81E-3
-0.8800	-1.42E-5	-0.8800	-5.42E-3	-0.8800	-4.67E-5	-0.8800	-8.61E-3	-0.8800	-1.20E-4	-0.8800	-4.16E-3	-0.8800	-1.80E-4	-0.8800	-3.81E-3
-0.8700	-1.39E-5	-0.8700	-5.43E-3	-0.8700	-4.61E-5	-0.8700	-8.62E-3	-0.8700	-1.10E-4	-0.8700	-4.18E-3	-0.8700	-1.77E-4	-0.8700	-3.81E-3
-0.8600	-1.37E-5	-0.8600	-5.43E-3	-0.8600	-4.54E-5	-0.8600	-8.62E-3	-0.8600	-1.18E-4	-0.8600	-4.19E-3	-0.8600	-1.74E-4	-0.8600	-3.81E-3
-0.8500	-1.35E-5	-0.8500	-5.42E-3	-0.8500	-4.47E-5	-0.8500	-8.61E-3	-0.8500	-1.22E-4	-0.8500	-4.17E-3	-0.8500	-1.72E-4	-0.8500	-3.81E-3
-0.8400	-1.33E-5	-0.8400	-5.42E-3	-0.8400	-4.41E-5	-0.8400	-8.60E-3	-0.8400	-1.22E-4	-0.8400	-4.17E-3	-0.8400	-1.69E-4	-0.8400	-3.81E-3
-0.8300	-1.31E-5	-0.8300	-5.42E-3	-0.8300	-4.35E-5	-0.8300	-8.61E-3	-0.8300	-1.20E-4	-0.8300	-4.16E-3	-0.8300	-1.67E-4	-0.8300	-3.80E-3
-0.8200	-1.29E-5	-0.8200	-5.41E-3	-0.8200	-4.29E-5	-0.8200	-8.65E-3	-0.8200	-1.19E-4	-0.8200	-4.16E-3	-0.8200	-1.64E-4	-0.8200	-3.80E-3
-0.8100	-1.27E-5	-0.8100	-5.41E-3	-0.8100	-4.23E-5	-0.8100	-8.64E-3	-0.8100	-1.17E-4	-0.8100	-4.16E-3	-0.8100	-1.62E-4	-0.8100	-3.79E-3
-0.8000	-1.25E-5	-0.8000	-5.40E-3	-0.8000	-4.17E-5	-0.8000	-8.62E-3	-0.8000	-1.15E-4	-0.8000	-4.17E-3	-0.8000	-1.59E-4	-0.8000	-3.79E-3
-0.7900	-1.24E-5	-0.7900	-5.42E-3	-0.7900	-4.11E-5	-0.7900	-8.60E-3	-0.7900	-1.14E-4	-0.7900	-4.17E-3	-0.7900	-1.57E-4	-0.7900	-3.79E-3
-0.7800	-1.22E-5	-0.7800	-5.41E-3	-0.7800	-4.05E-5	-0.7800	-8.59E-3	-0.7800	-1.11E-4	-0.7800	-4.17E-3	-0.7800	-1.54E-4	-0.7800	-3.79E-3
-0.7700	-1.20E-5	-0.7700	-5.42E-3	-0.7700	-3.99E-5	-0.7700	-8.58E-3	-0.7700	-1.07E-4	-0.7700	-4.17E-3	-0.7700	-1.52E-4	-0.7700	-3.78E-3
-0.7600	-1.18E-5	-0.7600	-5.41E-3	-0.7600	-3.94E-5	-0.7600	-8.58E-3	-0.7600	-1.06E-4	-0.7600	-4.17E-3	-0.7600	-1.50E-4	-0.7600	-3.77E-3
-0.7500	-1.16E-5	-0.7500	-5.40E-3	-0.7500	-3.88E-5	-0.7500	-8.60E-3	-0.7500	-1.05E-4	-0.7500	-4.16E-3	-0.7500	-1.47E-4	-0.7500	-3.76E-3
-0.7400	-1.15E-5	-0.7400	-5.39E-3	-0.7400	-3.83E-5	-0.7400	-8.61E-3	-0.7400	-1.06E-4	-0.7400	-4.16E-3	-0.7400	-1.45E-4	-0.7400	-3.76E-3
-0.7300	-1.13E-5	-0.7300	-5.38E-3	-0.7300	-3.77E-5	-0.7300	-8.57E-3	-0.7300	-1.04E-4	-0.7300	-4.15E-3	-0.7300	-1.43E-4	-0.7300	-3.76E-3
-0.7200	-1.11E-5	-0.7200	-5.38E-3	-0.7200	-3.72E-5	-0.7200	-8.56E-3	-0.7200	-1.03E-4	-0.7200	-4.15E-3	-0.7200	-1.41E-4	-0.7200	-3.75E-3
-0.7100	-1.09E-5	-0.7100	-5.41E-3	-0.7100	-3.66E-5	-0.7100	-8.55E-3	-0.7100	-1.01E-4	-0.7100	-4.15E-3	-0.7100	-1.39E-4	-0.7100	-3.76E-3
-0.7000	-1.08E-5	-0.7000	-5.39E-3	-0.7000	-3.61E-5	-0.7000	-8.54E-3	-0.7000	-9.93E-5	-0.7000	-4.14E-3	-0.7000	-1.37E-4	-0.7000	-3.75E-3
-0.6900	-1.06E-5	-0.6900	-5.39E-3	-0.6900	-3.55E-5	-0.6900	-8.53E-3	-0.6900	-9.76E-5	-0.6900	-4.14E-3	-0.6900	-1.34E-4	-0.6900	-3.75E-3
-0.6800	-1.05E-5	-0.6800	-5.39E-3	-0.6800	-3.50E-5	-0.6800	-8.54E-3	-0.6800	-9.60E-5	-0.6800	-4.13E-3	-0.6800	-1.32E-4	-0.6800	-3.74E-3
-0.6700	-1.03E-5	-0.6700	-5.39E-3	-0.6700	-3.45E-5	-0.6700	-8.57E-3	-0.6700	-9.42E-5	-0.6700	-4.12E-3	-0.6700	-1.30E-4	-0.6700	-3.74E-3
-0.6600	-1.01E-5	-0.6600	-5.39E-3	-0.6600	-3.40E-5	-0.6600	-8.58E-3	-0.6600	-8.96E-5	-0.6600	-4.11E-3	-0.6600	-1.28E-4	-0.6600	-3.73E-3
-0.6500	-9.97E-6	-0.6500	-5.38E-3	-0.6500	-3.35E-5	-0.6500	-8.56E-3	-0.6500	-8.80E-5	-0.6500	-4.10E-3	-0.6500	-1.26E-4	-0.6500	-3.73E-3
