Date:	7/16/2012																		
measured by:	Omer	 System:	ambient probe station																
Second round 16-7, approx 65 W, which is approx 1 sun. .4 I is the one with big grid spacing; .2 I is the the one with bigger area (dirty, fallen)																			
Voltage [V]	Current [A]	Voltage [V]	Current [A]	Voltage [V]	Current [A]	Voltage [V]	Current [A]	Voltage [V]	Current [A]	Voltage [V]	Current [A]	Voltage [V]	Current [A]	Voltage [V]	Current [A]	Voltage [V]	Current [A]	Voltage [V]	Current [A]
 	.4 I Dark	 	.4 I Light	 	.3 Dark	 	.3 Light	 	.2 I Dark	 	.2 I Light	 	.4 II Dark	 	.4 II Light	 	.2 II Dark	 	.2 II Light
-1.0000	-3.92E-5	-1.0000	-5.42E-3	-1.0000	-5.05E-5	-1.0000	-3.38E-3	-1.0000	-8.25E-6	-1.0000	-3.26E-3	-1.0000	-1.37E-5	-1.0000	-2.92E-3	-1.0000	-3.09E-5	-1.0000	-1.41E-3
-0.9900	-3.87E-5	-0.9900	-5.43E-3	-0.9900	-4.99E-5	-0.9900	-3.38E-3	-0.9900	-8.18E-6	-0.9900	-3.27E-3	-0.9900	-1.35E-5	-0.9900	-2.91E-3	-0.9900	-3.05E-5	-0.9900	-1.42E-3
-0.9800	-3.81E-5	-0.9800	-5.43E-3	-0.9800	-4.92E-5	-0.9800	-3.39E-3	-0.9800	-8.10E-6	-0.9800	-3.28E-3	-0.9800	-1.33E-5	-0.9800	-2.91E-3	-0.9800	-3.02E-5	-0.9800	-1.42E-3
-0.9700	-3.76E-5	-0.9700	-5.43E-3	-0.9700	-4.86E-5	-0.9700	-3.40E-3	-0.9700	-8.02E-6	-0.9700	-3.27E-3	-0.9700	-1.31E-5	-0.9700	-2.91E-3	-0.9700	-2.98E-5	-0.9700	-1.43E-3
-0.9600	-3.71E-5	-0.9600	-5.43E-3	-0.9600	-4.79E-5	-0.9600	-3.40E-3	-0.9600	-7.93E-6	-0.9600	-3.27E-3	-0.9600	-1.29E-5	-0.9600	-2.92E-3	-0.9600	-2.94E-5	-0.9600	-1.43E-3
-0.9500	-3.66E-5	-0.9500	-5.44E-3	-0.9500	-4.73E-5	-0.9500	-3.40E-3	-0.9500	-7.85E-6	-0.9500	-3.27E-3	-0.9500	-1.27E-5	-0.9500	-2.93E-3	-0.9500	-2.90E-5	-0.9500	-1.43E-3
-0.9400	-3.60E-5	-0.9400	-5.44E-3	-0.9400	-4.67E-5	-0.9400	-3.40E-3	-0.9400	-7.75E-6	-0.9400	-3.27E-3	-0.9400	-1.26E-5	-0.9400	-2.93E-3	-0.9400	-2.86E-5	-0.9400	-1.43E-3
-0.9300	-3.55E-5	-0.9300	-5.43E-3	-0.9300	-4.60E-5	-0.9300	-3.40E-3	-0.9300	-7.66E-6	-0.9300	-3.27E-3	-0.9300	-1.24E-5	-0.9300	-2.93E-3	-0.9300	-2.82E-5	-0.9300	-1.43E-3
-0.9200	-3.50E-5	-0.9200	-5.43E-3	-0.9200	-4.54E-5	-0.9200	-3.40E-3	-0.9200	-7.56E-6	-0.9200	-3.26E-3	-0.9200	-1.22E-5	-0.9200	-2.93E-3	-0.9200	-2.79E-5	-0.9200	-1.43E-3
-0.9100	-3.44E-5	-0.9100	-5.43E-3	-0.9100	-4.48E-5	-0.9100	-3.40E-3	-0.9100	-7.47E-6	-0.9100	-3.26E-3	-0.9100	-1.20E-5	-0.9100	-2.92E-3	-0.9100	-2.75E-5	-0.9100	-1.43E-3
-0.9000	-3.39E-5	-0.9000	-5.42E-3	-0.9000	-4.42E-5	-0.9000	-3.40E-3	-0.9000	-7.37E-6	-0.9000	-3.27E-3	-0.9000	-1.19E-5	-0.9000	-2.93E-3	-0.9000	-2.71E-5	-0.9000	-1.43E-3
-0.8900	-3.34E-5	-0.8900	-5.42E-3	-0.8900	-4.35E-5	-0.8900	-3.39E-3	-0.8900	-7.28E-6	-0.8900	-3.27E-3	-0.8900	-1.17E-5	-0.8900	-2.92E-3	-0.8900	-2.67E-5	-0.8900	-1.43E-3
-0.8800	-3.29E-5	-0.8800	-5.42E-3	-0.8800	-4.29E-5	-0.8800	-3.39E-3	-0.8800	-7.19E-6	-0.8800	-3.27E-3	-0.8800	-1.15E-5	-0.8800	-2.92E-3	-0.8800	-2.63E-5	-0.8800	-1.43E-3
-0.8700	-3.24E-5	-0.8700	-5.42E-3	-0.8700	-4.23E-5	-0.8700	-3.38E-3	-0.8700	-7.09E-6	-0.8700	-3.27E-3	-0.8700	-1.13E-5	-0.8700	-2.93E-3	-0.8700	-2.59E-5	-0.8700	-1.43E-3
-0.8600	-3.19E-5	-0.8600	-5.42E-3	-0.8600	-4.17E-5	-0.8600	-3.39E-3	-0.8600	-6.99E-6	-0.8600	-3.27E-3	-0.8600	-1.12E-5	-0.8600	-2.93E-3	-0.8600	-2.56E-5	-0.8600	-1.43E-3
-0.8500	-3.14E-5	-0.8500	-5.41E-3	-0.8500	-4.11E-5	-0.8500	-3.39E-3	-0.8500	-6.90E-6	-0.8500	-3.28E-3	-0.8500	-1.10E-5	-0.8500	-2.93E-3	-0.8500	-2.52E-5	-0.8500	-1.43E-3
-0.8400	-3.09E-5	-0.8400	-5.41E-3	-0.8400	-4.05E-5	-0.8400	-3.39E-3	-0.8400	-6.81E-6	-0.8400	-3.28E-3	-0.8400	-1.08E-5	-0.8400	-2.92E-3	-0.8400	-2.48E-5	-0.8400	-1.42E-3
-0.8300	-3.04E-5	-0.8300	-5.41E-3	-0.8300	-3.99E-5	-0.8300	-3.39E-3	-0.8300	-6.72E-6	-0.8300	-3.28E-3	-0.8300	-1.07E-5	-0.8300	-2.92E-3	-0.8300	-2.44E-5	-0.8300	-1.42E-3
-0.8200	-2.99E-5	-0.8200	-5.41E-3	-0.8200	-3.93E-5	-0.8200	-3.39E-3	-0.8200	-6.62E-6	-0.8200	-3.28E-3	-0.8200	-1.05E-5	-0.8200	-2.91E-3	-0.8200	-2.41E-5	-0.8200	-1.42E-3
-0.8100	-2.95E-5	-0.8100	-5.40E-3	-0.8100	-3.87E-5	-0.8100	-3.39E-3	-0.8100	-6.54E-6	-0.8100	-3.28E-3	-0.8100	-1.03E-5	-0.8100	-2.92E-3	-0.8100	-2.37E-5	-0.8100	-1.43E-3
-0.8000	-2.90E-5	-0.8000	-5.40E-3	-0.8000	-3.82E-5	-0.8000	-3.39E-3	-0.8000	-6.45E-6	-0.8000	-3.27E-3	-0.8000	-1.02E-5	-0.8000	-2.92E-3	-0.8000	-2.33E-5	-0.8000	-1.43E-3
-0.7900	-2.85E-5	-0.7900	-5.41E-3	-0.7900	-3.76E-5	-0.7900	-3.39E-3	-0.7900	-6.36E-6	-0.7900	-3.27E-3	-0.7900	-1.00E-5	-0.7900	-2.93E-3	-0.7900	-2.30E-5	-0.7900	-1.43E-3
-0.7800	-2.80E-5	-0.7800	-5.41E-3	-0.7800	-3.70E-5	-0.7800	-3.38E-3	-0.7800	-6.26E-6	-0.7800	-3.26E-3	-0.7800	-9.85E-6	-0.7800	-2.93E-3	-0.7800	-2.26E-5	-0.7800	-1.43E-3
-0.7700	-2.76E-5	-0.7700	-5.41E-3	-0.7700	-3.64E-5	-0.7700	-3.38E-3	-0.7700	-6.16E-6	-0.7700	-3.25E-3	-0.7700	-9.69E-6	-0.7700	-2.93E-3	-0.7700	-2.22E-5	-0.7700	-1.43E-3
-0.7600	-2.71E-5	-0.7600	-5.41E-3	-0.7600	-3.58E-5	-0.7600	-3.38E-3	-0.7600	-6.08E-6	-0.7600	-3.25E-3	-0.7600	-9.53E-6	-0.7600	-2.93E-3	-0.7600	-2.19E-5	-0.7600	-1.42E-3
-0.7500	-2.66E-5	-0.7500	-5.41E-3	-0.7500	-3.53E-5	-0.7500	-3.38E-3	-0.7500	-5.98E-6	-0.7500	-3.25E-3	-0.7500	-9.37E-6	-0.7500	-2.93E-3	-0.7500	-2.15E-5	-0.7500	-1.42E-3
-0.7400	-2.62E-5	-0.7400	-5.41E-3	-0.7400	-3.47E-5	-0.7400	-3.38E-3	-0.7400	-5.89E-6	-0.7400	-3.26E-3	-0.7400	-9.21E-6	-0.7400	-2.92E-3	-0.7400	-2.12E-5	-0.7400	-1.42E-3
-0.7300	-2.57E-5	-0.7300	-5.40E-3	-0.7300	-3.41E-5	-0.7300	-3.38E-3	-0.7300	-5.80E-6	-0.7300	-3.26E-3	-0.7300	-9.06E-6	-0.7300	-2.92E-3	-0.7300	-2.08E-5	-0.7300	-1.42E-3
-0.7200	-2.52E-5	-0.7200	-5.40E-3	-0.7200	-3.36E-5	-0.7200	-3.37E-3	-0.7200	-5.72E-6	-0.7200	-3.26E-3	-0.7200	-8.90E-6	-0.7200	-2.92E-3	-0.7200	-2.04E-5	-0.7200	-1.42E-3
-0.7100	-2.48E-5	-0.7100	-5.40E-3	-0.7100	-3.30E-5	-0.7100	-3.37E-3	-0.7100	-5.63E-6	-0.7100	-3.25E-3	-0.7100	-8.75E-6	-0.7100	-2.92E-3	-0.7100	-2.01E-5	-0.7100	-1.42E-3
-0.7000	-2.44E-5	-0.7000	-5.40E-3	-0.7000	-3.25E-5	-0.7000	-3.37E-3	-0.7000	-5.54E-6	-0.7000	-3.25E-3	-0.7000	-8.60E-6	-0.7000	-2.92E-3	-0.7000	-1.97E-5	-0.7000	-1.42E-3
-0.6900	-2.39E-5	-0.6900	-5.39E-3	-0.6900	-3.19E-5	-0.6900	-3.37E-3	-0.6900	-5.45E-6	-0.6900	-3.25E-3	-0.6900	-8.45E-6	-0.6900	-2.92E-3	-0.6900	-1.94E-5	-0.6900	-1.42E-3
-0.6800	-2.35E-5	-0.6800	-5.40E-3	-0.6800	-3.14E-5	-0.6800	-3.37E-3	-0.6800	-5.36E-6	-0.6800	-3.25E-3	-0.6800	-8.30E-6	-0.6800	-2.91E-3	-0.6800	-1.91E-5	-0.6800	-1.41E-3
-0.6700	-2.30E-5	-0.6700	-5.40E-3	-0.6700	-3.08E-5	-0.6700	-3.38E-3	-0.6700	-5.27E-6	-0.6700	-3.25E-3	-0.6700	-8.15E-6	-0.6700	-2.91E-3	-0.6700	-1.87E-5	-0.6700	-1.41E-3
-0.6600	-2.26E-5	-0.6600	-5.39E-3	-0.6600	-3.03E-5	-0.6600	-3.38E-3	-0.6600	-5.18E-6	-0.6600	-3.24E-3	-0.6600	-8.00E-6	-0.6600	-2.91E-3	-0.6600	-1.84E-5	-0.6600	-1.42E-3
-0.6500	-2.22E-5	-0.6500	-5.39E-3	-0.6500	-2.98E-5	-0.6500	-3.38E-3	-0.6500	-5.09E-6	-0.6500	-3.24E-3	-0.6500	-7.85E-6	-0.6500	-2.92E-3	-0.6500	-1.80E-5	-0.6500	-1.42E-3
-0.6400	-2.18E-5	-0.6400	-5.38E-3	-0.6400	-2.92E-5	-0.6400	-3.38E-3	-0.6400	-5.01E-6	-0.6400	-3.24E-3	-0.6400	-7.71E-6	-0.6400	-2.92E-3	-0.6400	-1.77E-5	-0.6400	-1.42E-3
-0.6300	-2.13E-5	-0.6300	-5.39E-3	-0.6300	-2.87E-5	-0.6300	-3.37E-3	-0.6300	-4.92E-6	-0.6300	-3.23E-3	-0.6300	-7.56E-6	-0.6300	-2.92E-3	-0.6300	-1.74E-5	-0.6300	-1.42E-3
-0.6200	-2.09E-5	-0.6200	-5.39E-3	-0.6200	-2.82E-5	-0.6200	-3.37E-3	-0.6200	-4.83E-6	-0.6200	-3.23E-3	-0.6200	-7.43E-6	-0.6200	-2.92E-3	-0.6200	-1.70E-5	-0.6200	-1.42E-3
-0.6100	-2.05E-5	-0.6100	-5.39E-3	-0.6100	-2.77E-5	-0.6100	-3.36E-3	-0.6100	-4.75E-6	-0.6100	-3.22E-3	-0.6100	-7.28E-6	-0.6100	-2.92E-3	-0.6100	-1.67E-5	-0.6100	-1.42E-3
-0.6000	-2.01E-5	-0.6000	-5.40E-3	-0.6000	-2.71E-5	-0.6000	-3.37E-3	-0.6000	-4.67E-6	-0.6000	-3.22E-3	-0.6000	-7.14E-6	-0.6000	-2.93E-3	-0.6000	-1.64E-5	-0.6000	-1.42E-3
-0.5900	-1.97E-5	-0.5900	-5.39E-3	-0.5900	-2.66E-5	-0.5900	-3.36E-3	-0.5900	-4.59E-6	-0.5900	-3.23E-3	-0.5900	-7.00E-6	-0.5900	-2.92E-3	-0.5900	-1.60E-5	-0.5900	-1.42E-3
-0.5800	-1.93E-5	-0.5800	-5.39E-3	-0.5800	-2.61E-5	-0.5800	-3.36E-3	-0.5800	-4.51E-6	-0.5800	-3.23E-3	-0.5800	-6.86E-6	-0.5800	-2.92E-3	-0.5800	-1.57E-5	-0.5800	-1.42E-3
-0.5700	-1.89E-5	-0.5700	-5.39E-3	-0.5700	-2.56E-5	-0.5700	-3.36E-3	-0.5700	-4.43E-6	-0.5700	-3.23E-3	-0.5700	-6.73E-6	-0.5700	-2.92E-3	-0.5700	-1.54E-5	-0.5700	-1.42E-3
-0.5600	-1.85E-5	-0.5600	-5.38E-3	-0.5600	-2.51E-5	-0.5600	-3.36E-3	-0.5600	-4.35E-6	-0.5600	-3.23E-3	-0.5600	-6.59E-6	-0.5600	-2.91E-3	-0.5600	-1.51E-5	-0.5600	-1.42E-3
-0.5500	-1.81E-5	-0.5500	-5.38E-3	-0.5500	-2.46E-5	-0.5500	-3.36E-3	-0.5500	-4.27E-6	-0.5500	-3.23E-3	-0.5500	-6.45E-6	-0.5500	-2.91E-3	-0.5500	-1.48E-5	-0.5500	-1.41E-3
-0.5400	-1.77E-5	-0.5400	-5.36E-3	-0.5400	-2.41E-5	-0.5400	-3.36E-3	-0.5400	-4.18E-6	-0.5400	-3.23E-3	-0.5400	-6.32E-6	-0.5400	-2.91E-3	-0.5400	-1.44E-5	-0.5400	-1.42E-3
-0.5300	-1.73E-5	-0.5300	-5.37E-3	-0.5300	-2.36E-5	-0.5300	-3.36E-3	-0.5300	-4.10E-6	-0.5300	-3.23E-3	-0.5300	-6.19E-6	-0.5300	-2.91E-3	-0.5300	-1.41E-5	-0.5300	-1.41E-3
-0.5200	-1.69E-5	-0.5200	-5.38E-3	-0.5200	-2.31E-5	-0.5200	-3.36E-3	-0.5200	-4.03E-6	-0.5200	-3.23E-3	-0.5200	-6.06E-6	-0.5200	-2.91E-3	-0.5200	-1.38E-5	-0.5200	-1.41E-3
-0.5100	-1.66E-5	-0.5100	-5.38E-3	-0.5100	-2.26E-5	-0.5100	-3.36E-3	-0.5100	-3.95E-6	-0.5100	-3.23E-3	-0.5100	-5.93E-6	-0.5100	-2.91E-3	-0.5100	-1.35E-5	-0.5100	-1.41E-3
-0.5000	-1.62E-5	-0.5000	-5.38E-3	-0.5000	-2.21E-5	-0.5000	-3.36E-3	-0.5000	-3.87E-6	-0.5000	-3.23E-3	-0.5000	-5.80E-6	-0.5000	-2.91E-3	-0.5000	-1.32E-5	-0.5000	-1.41E-3
-0.4900	-1.58E-5	-0.4900	-5.37E-3	-0.4900	-2.17E-5	-0.4900	-3.36E-3	-0.4900	-3.79E-6	-0.4900	-3.23E-3	-0.4900	-5.67E-6	-0.4900	-2.91E-3	-0.4900	-1.29E-5	-0.4900	-1.41E-3
-0.4800	-1.54E-5	-0.4800	-5.36E-3	-0.4800	-2.12E-5	-0.4800	-3.36E-3	-0.4800	-3.72E-6	-0.4800	-3.22E-3	-0.4800	-5.54E-6	-0.4800	-2.91E-3	-0.4800	-1.26E-5	-0.4800	-1.41E-3
-0.4700	-1.51E-5	-0.4700	-5.36E-3	-0.4700	-2.07E-5	-0.4700	-3.36E-3	-0.4700	-3.64E-6	-0.4700	-3.21E-3	-0.4700	-5.42E-6	-0.4700	-2.91E-3	-0.4700	-1.23E-5	-0.4700	-1.41E-3
-0.4600	-1.47E-5	-0.4600	-5.36E-3	-0.4600	-2.02E-5	-0.4600	-3.35E-3	-0.4600	-3.57E-6	-0.4600	-3.21E-3	-0.4600	-5.29E-6	-0.4600	-2.91E-3	-0.4600	-1.20E-5	-0.4600	-1.41E-3
-0.4500	-1.44E-5	-0.4500	-5.36E-3	-0.4500	-1.98E-5	-0.4500	-3.35E-3	-0.4500	-3.49E-6	-0.4500	-3.20E-3	-0.4500	-5.17E-6	-0.4500	-2.92E-3	-0.4500	-1.17E-5	-0.4500	-1.41E-3
-0.4400	-1.40E-5	-0.4400	-5.37E-3	-0.4400	-1.93E-5	-0.4400	-3.34E-3	-0.4400	-3.42E-6	-0.4400	-3.21E-3	-0.4400	-5.05E-6	-0.4400	-2.92E-3	-0.4400	-1.14E-5	-0.4400	-1.41E-3
-0.4300	-1.36E-5	-0.4300	-5.36E-3	-0.4300	-1.88E-5	-0.4300	-3.35E-3	-0.4300	-3.35E-6	-0.4300	-3.22E-3	-0.4300	-4.93E-6	-0.4300	-2.92E-3	-0.4300	-1.11E-5	-0.4300	-1.41E-3
-0.4200	-1.33E-5	-0.4200	-5.36E-3	-0.4200	-1.84E-5	-0.4200	-3.35E-3	-0.4200	-3.28E-6	-0.4200	-3.22E-3	-0.4200	-4.80E-6	-0.4200	-2.91E-3	-0.4200	-1.08E-5	-0.4200	-1.41E-3
-0.4100	-1.29E-5	-0.4100	-5.36E-3	-0.4100	-1.79E-5	-0.4100	-3.34E-3	-0.4100	-3.20E-6	-0.4100	-3.22E-3	-0.4100	-4.68E-6	-0.4100	-2.91E-3	-0.4100	-1.05E-5	-0.4100	-1.41E-3
-0.4000	-1.26E-5	-0.4000	-5.36E-3	-0.4000	-1.75E-5	-0.4000	-3.35E-3	-0.4000	-3.13E-6	-0.4000	-3.22E-3	-0.4000	-4.57E-6	-0.4000	-2.90E-3	-0.4000	-1.03E-5	-0.4000	-1.40E-3
-0.3900	-1.23E-5	-0.3900	-5.34E-3	-0.3900	-1.70E-5	-0.3900	-3.35E-3	-0.3900	-3.06E-6	-0.3900	-3.22E-3	-0.3900	-4.45E-6	-0.3900	-2.90E-3	-0.3900	-9.99E-6	-0.3900	-1.40E-3
-0.3800	-1.19E-5	-0.3800	-5.34E-3	-0.3800	-1.66E-5	-0.3800	-3.35E-3	-0.3800	-2.99E-6	-0.3800	-3.21E-3	-0.3800	-4.33E-6	-0.3800	-2.90E-3	-0.3800	-9.71E-6	-0.3800	-1.40E-3
-0.3700	-1.16E-5	-0.3700	-5.35E-3	-0.3700	-1.61E-5	-0.3700	-3.34E-3	-0.3700	-2.92E-6	-0.3700	-3.21E-3	-0.3700	-4.22E-6	-0.3700	-2.89E-3	-0.3700	-9.44E-6	-0.3700	-1.40E-3
-0.3600	-1.13E-5	-0.3600	-5.36E-3	-0.3600	-1.57E-5	-0.3600	-3.34E-3	-0.3600	-2.85E-6	-0.3600	-3.22E-3	-0.3600	-4.10E-6	-0.3600	-2.90E-3	-0.3600	-9.17E-6	-0.3600	-1.40E-3
-0.3500	-1.09E-5	-0.3500	-5.36E-3	-0.3500	-1.53E-5	-0.3500	-3.34E-3	-0.3500	-2.78E-6	-0.3500	-3.22E-3	-0.3500	-3.99E-6	-0.3500	-2.90E-3	-0.3500	-8.90E-6	-0.3500	-1.40E-3
-0.3400	-1.06E-5	-0.3400	-5.35E-3	-0.3400	-1.49E-5	-0.3400	-3.34E-3	-0.3400	-2.72E-6	-0.3400	-3.22E-3	-0.3400	-3.88E-6	-0.3400	-2.90E-3	-0.3400	-8.63E-6	-0.3400	-1.40E-3
-0.3300	-1.03E-5	-0.3300	-5.35E-3	-0.3300	-1.44E-5	-0.3300	-3.34E-3	-0.3300	-2.65E-6	-0.3300	-3.22E-3	-0.3300	-3.77E-6	-0.3300	-2.90E-3	-0.3300	-8.37E-6	-0.3300	-1.40E-3
-0.3200	-9.97E-6	-0.3200	-5.34E-3	-0.3200	-1.40E-5	-0.3200	-3.34E-3	-0.3200	-2.58E-6	-0.3200	-3.21E-3	-0.3200	-3.66E-6	-0.3200	-2.90E-3	-0.3200	-8.10E-6	-0.3200	-1.40E-3
-0.3100	-9.66E-6	-0.3100	-5.34E-3	-0.3100	-1.36E-5	-0.3100	-3.33E-3	-0.3100	-2.52E-6	-0.3100	-3.21E-3	-0.3100	-3.55E-6	-0.3100	-2.90E-3	-0.3100	-7.85E-6	-0.3100	-1.40E-3
