Date:	7/23/2012								
measured by:	Omer	 System:	ambient probe station						
Remeasuring second rounbd of devices. Had been sitting under (mild) vacuum. Lamp at about 65 W									
Voltage [V]	Current [A]	Voltage [V]	Current [A]	Voltage [V]	Current [A]	Voltage [V]	Current [A]	Voltage [V]	Current [A]
 	.4BG light	 	.3 Light	 	.2 Big Light	 	.4SG Light	 	.2Small Light
-1.0000	-5.42E-3	-1.0000	-3.35E-3	-1.0000	-3.48E-3	-1.0000	-3.06E-3	-1.0000	-1.37E-3
-0.9900	-5.41E-3	-0.9900	-3.35E-3	-0.9900	-3.47E-3	-0.9900	-3.06E-3	-0.9900	-1.37E-3
-0.9800	-5.41E-3	-0.9800	-3.35E-3	-0.9800	-3.47E-3	-0.9800	-3.06E-3	-0.9800	-1.37E-3
-0.9700	-5.41E-3	-0.9700	-3.35E-3	-0.9700	-3.46E-3	-0.9700	-3.06E-3	-0.9700	-1.37E-3
-0.9600	-5.40E-3	-0.9600	-3.35E-3	-0.9600	-3.46E-3	-0.9600	-3.06E-3	-0.9600	-1.37E-3
-0.9500	-5.41E-3	-0.9500	-3.35E-3	-0.9500	-3.46E-3	-0.9500	-3.06E-3	-0.9500	-1.37E-3
-0.9400	-5.41E-3	-0.9400	-3.34E-3	-0.9400	-3.46E-3	-0.9400	-3.05E-3	-0.9400	-1.37E-3
-0.9300	-5.42E-3	-0.9300	-3.34E-3	-0.9300	-3.47E-3	-0.9300	-3.06E-3	-0.9300	-1.37E-3
-0.9200	-5.42E-3	-0.9200	-3.35E-3	-0.9200	-3.47E-3	-0.9200	-3.07E-3	-0.9200	-1.36E-3
-0.9100	-5.43E-3	-0.9100	-3.35E-3	-0.9100	-3.46E-3	-0.9100	-3.06E-3	-0.9100	-1.37E-3
-0.9000	-5.42E-3	-0.9000	-3.34E-3	-0.9000	-3.46E-3	-0.9000	-3.06E-3	-0.9000	-1.37E-3
-0.8900	-5.42E-3	-0.8900	-3.34E-3	-0.8900	-3.46E-3	-0.8900	-3.06E-3	-0.8900	-1.37E-3
-0.8800	-5.39E-3	-0.8800	-3.34E-3	-0.8800	-3.46E-3	-0.8800	-3.06E-3	-0.8800	-1.36E-3
-0.8700	-5.39E-3	-0.8700	-3.34E-3	-0.8700	-3.46E-3	-0.8700	-3.06E-3	-0.8700	-1.36E-3
-0.8600	-5.40E-3	-0.8600	-3.34E-3	-0.8600	-3.46E-3	-0.8600	-3.06E-3	-0.8600	-1.36E-3
-0.8500	-5.39E-3	-0.8500	-3.33E-3	-0.8500	-3.47E-3	-0.8500	-3.06E-3	-0.8500	-1.36E-3
-0.8400	-5.39E-3	-0.8400	-3.33E-3	-0.8400	-3.46E-3	-0.8400	-3.07E-3	-0.8400	-1.36E-3
-0.8300	-5.39E-3	-0.8300	-3.33E-3	-0.8300	-3.46E-3	-0.8300	-3.06E-3	-0.8300	-1.37E-3
-0.8200	-5.39E-3	-0.8200	-3.32E-3	-0.8200	-3.45E-3	-0.8200	-3.06E-3	-0.8200	-1.37E-3
-0.8100	-5.38E-3	-0.8100	-3.32E-3	-0.8100	-3.45E-3	-0.8100	-3.06E-3	-0.8100	-1.36E-3
-0.8000	-5.37E-3	-0.8000	-3.32E-3	-0.8000	-3.45E-3	-0.8000	-3.06E-3	-0.8000	-1.36E-3
-0.7900	-5.37E-3	-0.7900	-3.32E-3	-0.7900	-3.45E-3	-0.7900	-3.06E-3	-0.7900	-1.36E-3
-0.7800	-5.38E-3	-0.7800	-3.32E-3	-0.7800	-3.45E-3	-0.7800	-3.05E-3	-0.7800	-1.36E-3
-0.7700	-5.38E-3	-0.7700	-3.32E-3	-0.7700	-3.45E-3	-0.7700	-3.05E-3	-0.7700	-1.36E-3
-0.7600	-5.39E-3	-0.7600	-3.32E-3	-0.7600	-3.45E-3	-0.7600	-3.05E-3	-0.7600	-1.36E-3
-0.7500	-5.39E-3	-0.7500	-3.33E-3	-0.7500	-3.45E-3	-0.7500	-3.04E-3	-0.7500	-1.36E-3
-0.7400	-5.39E-3	-0.7400	-3.33E-3	-0.7400	-3.45E-3	-0.7400	-3.04E-3	-0.7400	-1.36E-3
-0.7300	-5.38E-3	-0.7300	-3.33E-3	-0.7300	-3.45E-3	-0.7300	-3.05E-3	-0.7300	-1.35E-3
