Date:	7/23/2012						
measured by:	Omer	 System:	ambient probe station				
Lamp at 65 W; cut .5 into two pieces to see if one defect dominates							
Voltage [V]	Current [A]	Voltage [V]	Current [A]	Voltage [V]	Current [A]	Voltage [V]	Current [A]
 	.5 1 Dark	 	.5 1 Light	 	.5 II Dark	 	.5 II Light
-1.0000	-2.58E-5	-1.0000	-1.86E-3	-1.0000	-5.09E-5	-1.0000	-2.25E-3
-0.9900	-2.55E-5	-0.9900	-1.86E-3	-0.9900	-5.02E-5	-0.9900	-2.25E-3
-0.9800	-2.50E-5	-0.9800	-1.86E-3	-0.9800	-4.95E-5	-0.9800	-2.25E-3
-0.9700	-2.47E-5	-0.9700	-1.86E-3	-0.9700	-4.89E-5	-0.9700	-2.25E-3
-0.9600	-2.44E-5	-0.9600	-1.86E-3	-0.9600	-4.82E-5	-0.9600	-2.25E-3
-0.9500	-2.41E-5	-0.9500	-1.87E-3	-0.9500	-4.75E-5	-0.9500	-2.25E-3
-0.9400	-2.38E-5	-0.9400	-1.86E-3	-0.9400	-4.67E-5	-0.9400	-2.25E-3
-0.9300	-2.35E-5	-0.9300	-1.86E-3	-0.9300	-4.60E-5	-0.9300	-2.25E-3
-0.9200	-2.32E-5	-0.9200	-1.86E-3	-0.9200	-4.54E-5	-0.9200	-2.24E-3
-0.9100	-2.29E-5	-0.9100	-1.86E-3	-0.9100	-4.47E-5	-0.9100	-2.24E-3
-0.9000	-2.26E-5	-0.9000	-1.86E-3	-0.9000	-4.40E-5	-0.9000	-2.24E-3
-0.8900	-2.23E-5	-0.8900	-1.85E-3	-0.8900	-4.33E-5	-0.8900	-2.23E-3
-0.8800	-2.20E-5	-0.8800	-1.85E-3	-0.8800	-4.27E-5	-0.8800	-2.23E-3
-0.8700	-2.17E-5	-0.8700	-1.85E-3	-0.8700	-4.20E-5	-0.8700	-2.23E-3
-0.8600	-2.14E-5	-0.8600	-1.84E-3	-0.8600	-4.14E-5	-0.8600	-2.22E-3
-0.8500	-2.11E-5	-0.8500	-1.84E-3	-0.8500	-4.07E-5	-0.8500	-2.22E-3
-0.8400	-2.08E-5	-0.8400	-1.84E-3	-0.8400	-4.01E-5	-0.8400	-2.21E-3
-0.8300	-2.05E-5	-0.8300	-1.83E-3	-0.8300	-3.94E-5	-0.8300	-2.21E-3
-0.8200	-2.02E-5	-0.8200	-1.82E-3	-0.8200	-3.88E-5	-0.8200	-2.20E-3
-0.8100	-1.99E-5	-0.8100	-1.82E-3	-0.8100	-3.81E-5	-0.8100	-2.20E-3
-0.8000	-1.96E-5	-0.8000	-1.81E-3	-0.8000	-3.75E-5	-0.8000	-2.19E-3
-0.7900	-1.93E-5	-0.7900	-1.81E-3	-0.7900	-3.69E-5	-0.7900	-2.18E-3
-0.7800	-1.90E-5	-0.7800	-1.80E-3	-0.7800	-3.63E-5	-0.7800	-2.17E-3
-0.7700	-1.87E-5	-0.7700	-1.79E-3	-0.7700	-3.57E-5	-0.7700	-2.16E-3
-0.7600	-1.84E-5	-0.7600	-1.79E-3	-0.7600	-3.50E-5	-0.7600	-2.16E-3
-0.7500	-1.82E-5	-0.7500	-1.78E-3	-0.7500	-3.44E-5	-0.7500	-2.15E-3
-0.7400	-1.79E-5	-0.7400	-1.77E-3	-0.7400	-3.38E-5	-0.7400	-2.14E-3
-0.7300	-1.76E-5	-0.7300	-1.76E-3	-0.7300	-3.32E-5	-0.7300	-2.14E-3
-0.7200	-1.73E-5	-0.7200	-1.75E-3	-0.7200	-3.27E-5	-0.7200	-2.13E-3
-0.7100	-1.70E-5	-0.7100	-1.74E-3	-0.7100	-3.21E-5	-0.7100	-2.12E-3
-0.7000	-1.67E-5	-0.7000	-1.73E-3	-0.7000	-3.15E-5	-0.7000	-2.11E-3
-0.6900	-1.64E-5	-0.6900	-1.72E-3	-0.6900	-3.09E-5	-0.6900	-2.10E-3
-0.6800	-1.62E-5	-0.6800	-1.71E-3	-0.6800	-3.04E-5	-0.6800	-2.10E-3
-0.6700	-1.59E-5	-0.6700	-1.71E-3	-0.6700	-2.98E-5	-0.6700	-2.08E-3
-0.6600	-1.56E-5	-0.6600	-1.70E-3	-0.6600	-2.92E-5	-0.6600	-2.07E-3
-0.6500	-1.53E-5	-0.6500	-1.68E-3	-0.6500	-2.87E-5	-0.6500	-2.07E-3
-0.6400	-1.51E-5	-0.6400	-1.67E-3	-0.6400	-2.81E-5	-0.6400	-2.05E-3
-0.6300	-1.48E-5	-0.6300	-1.66E-3	-0.6300	-2.76E-5	-0.6300	-2.04E-3
-0.6200	-1.45E-5	-0.6200	-1.65E-3	-0.6200	-2.70E-5	-0.6200	-2.03E-3
