Date:	7/23/2012		
measured by:	Omer	 System:	ambient probe station
65 W - thirdround			
Voltage [V]	Current [A]	Voltage [V]	Current [A]
 	.5 Dark	 	.5 Light
-1.0000	-6.99E-5	-1.0000	-4.65E-3
-0.9900	-6.90E-5	-0.9900	-4.78E-3
-0.9800	-6.82E-5	-0.9800	-4.88E-3
-0.9700	-6.73E-5	-0.9700	-4.97E-3
-0.9600	-6.64E-5	-0.9600	-5.03E-3
-0.9500	-6.55E-5	-0.9500	-5.08E-3
-0.9400	-6.46E-5	-0.9400	-5.12E-3
-0.9300	-6.36E-5	-0.9300	-5.16E-3
-0.9200	-6.27E-5	-0.9200	-5.17E-3
-0.9100	-6.18E-5	-0.9100	-5.19E-3
-0.9000	-6.09E-5	-0.9000	-5.19E-3
-0.8900	-6.00E-5	-0.8900	-5.17E-3
-0.8800	-5.91E-5	-0.8800	-5.17E-3
-0.8700	-5.82E-5	-0.8700	-5.17E-3
-0.8600	-5.73E-5	-0.8600	-5.17E-3
-0.8500	-5.64E-5	-0.8500	-5.16E-3
-0.8400	-5.55E-5	-0.8400	-5.15E-3
-0.8300	-5.47E-5	-0.8300	-5.14E-3
-0.8200	-5.38E-5	-0.8200	-5.11E-3
-0.8100	-5.29E-5	-0.8100	-5.08E-3
-0.8000	-5.21E-5	-0.8000	-5.06E-3
-0.7900	-5.12E-5	-0.7900	-5.03E-3
-0.7800	-5.04E-5	-0.7800	-5.00E-3
-0.7700	-4.95E-5	-0.7700	-4.97E-3
-0.7600	-4.87E-5	-0.7600	-4.94E-3
-0.7500	-4.79E-5	-0.7500	-4.92E-3
-0.7400	-4.71E-5	-0.7400	-4.88E-3
-0.7300	-4.62E-5	-0.7300	-4.85E-3
-0.7200	-4.54E-5	-0.7200	-4.81E-3
-0.7100	-4.46E-5	-0.7100	-4.79E-3
-0.7000	-4.38E-5	-0.7000	-4.76E-3
-0.6900	-4.30E-5	-0.6900	-4.73E-3
-0.6800	-4.23E-5	-0.6800	-4.70E-3
-0.6700	-4.15E-5	-0.6700	-4.67E-3
-0.6600	-4.07E-5	-0.6600	-4.63E-3
-0.6500	-3.99E-5	-0.6500	-4.59E-3
-0.6400	-3.92E-5	-0.6400	-4.56E-3
-0.6300	-3.84E-5	-0.6300	-4.53E-3
-0.6200	-3.77E-5	-0.6200	-4.49E-3
-0.6100	-3.69E-5	-0.6100	-4.46E-3
-0.6000	-3.62E-5	-0.6000	-4.43E-3
-0.5900	-3.55E-5	-0.5900	-4.39E-3
-0.5800	-3.48E-5	-0.5800	-4.35E-3
-0.5700	-3.41E-5	-0.5700	-4.31E-3
-0.5600	-3.33E-5	-0.5600	-4.28E-3
-0.5500	-3.26E-5	-0.5500	-4.25E-3
-0.5400	-3.19E-5	-0.5400	-4.22E-3
-0.5300	-3.13E-5	-0.5300	-4.18E-3
-0.5200	-3.06E-5	-0.5200	-4.16E-3
-0.5100	-2.99E-5	-0.5100	-4.12E-3
