TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	12/07/03
TIME	14:57:00
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-570, Rev. 1.00
RESOLUTION	
DELTAX	-2
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	1500.0000
LASTX	300.0000
NPOINTS	601
FIRSTY	0.86211
MAXY	0.86406
MINY	0.05206
XYDATA
1500.0000	86.211
1498.0000	86.28
1496.0000	86.244
1494.0000	86.253
1492.0000	86.31
1490.0000	86.33
1488.0000	86.33
1486.0000	86.283
1484.0000	86.406
1482.0000	86.28
1480.0000	86.399
1478.0000	86.4
1476.0000	86.289
1474.0000	86.337
1472.0000	86.317
1470.0000	86.346
1468.0000	86.397
1466.0000	86.35
1464.0000	86.137
1462.0000	86.231
1460.0000	86.181
1458.0000	86.217
1456.0000	86.161
1454.0000	86.081
1452.0000	86.021
1450.0000	86.117
1448.0000	85.975
1446.0000	86.045
1444.0000	85.993
1442.0000	85.928
1440.0000	85.839
1438.0000	85.875
1436.0000	85.729
1434.0000	85.806
1432.0000	85.732
1430.0000	85.747
1428.0000	85.534
1426.0000	85.603
1424.0000	85.558
1422.0000	85.546
1420.0000	85.477
1418.0000	85.396
1416.0000	85.188
1414.0000	85.26
1412.0000	85.257
1410.0000	85.173
1408.0000	85.044
1406.0000	85.033
1404.0000	84.754
1402.0000	84.806
1400.0000	84.783
1398.0000	84.805
1396.0000	84.643
1394.0000	84.509
1392.0000	84.421
1390.0000	84.437
1388.0000	84.319
1386.0000	84.323
1384.0000	84.184
1382.0000	84.15
1380.0000	83.983
1378.0000	84.047
1376.0000	83.971
1374.0000	83.908
1372.0000	83.88
1370.0000	83.694
1368.0000	83.672
1366.0000	83.633
1364.0000	83.674
1362.0000	83.706
1360.0000	83.646
1358.0000	83.545
1356.0000	83.549
1354.0000	83.566
1352.0000	83.524
1350.0000	83.517
1348.0000	83.443
1346.0000	83.442
1344.0000	83.518
1342.0000	83.479
1340.0000	83.415
1338.0000	83.445
1336.0000	83.444
1334.0000	83.369
1332.0000	83.448
1330.0000	83.403
1328.0000	83.39
1326.0000	83.306
1324.0000	83.329
1322.0000	83.274
1320.0000	83.306
1318.0000	83.225
1316.0000	83.199
1314.0000	83.29
1312.0000	83.191
1310.0000	83.156
1308.0000	83.174
1306.0000	83.172
1304.0000	83.061
1302.0000	83.077
1300.0000	83.074
1298.0000	82.997
1296.0000	83.098
1294.0000	83.004
1292.0000	83.049
1290.0000	83.017
1288.0000	82.992
1286.0000	82.843
1284.0000	82.956
1282.0000	82.937
1280.0000	82.934
1278.0000	82.906
1276.0000	82.828
1274.0000	82.889
1272.0000	82.873
1270.0000	82.818
1268.0000	82.811
1266.0000	82.843
1264.0000	82.783
1262.0000	82.824
1260.0000	82.759
1258.0000	82.774
1256.0000	82.757
1254.0000	82.672
1252.0000	82.655
1250.0000	82.697
1248.0000	82.686
1246.0000	82.628
1244.0000	82.641
1242.0000	82.624
1240.0000	82.608
1238.0000	82.636
1236.0000	82.55
1234.0000	82.565
1232.0000	82.609
1230.0000	82.499
1228.0000	82.539
1226.0000	82.517
1224.0000	82.523
1222.0000	82.532
1220.0000	82.517
1218.0000	82.486
1216.0000	82.507
1214.0000	82.43
1212.0000	82.467
1210.0000	82.445
1208.0000	82.307
1206.0000	82.415
1204.0000	82.375
1202.0000	82.396
1200.0000	82.347
1198.0000	82.294
1196.0000	82.273
1194.0000	82.243
1192.0000	82.243
1190.0000	82.103
1188.0000	82.186
1186.0000	82.171
1184.0000	82.081
1182.0000	82.057
1180.0000	81.997
1178.0000	82.002
1176.0000	81.965
1174.0000	81.909
1172.0000	81.932
1170.0000	81.899
1168.0000	81.778
1166.0000	81.787
1164.0000	81.731
1162.0000	81.82
1160.0000	81.68
1158.0000	81.677
1156.0000	81.639
1154.0000	81.578
1152.0000	81.523
1150.0000	81.497
1148.0000	81.495
1146.0000	81.334
1144.0000	81.409
1142.0000	81.359
1140.0000	81.385
1138.0000	81.307
1136.0000	81.23
1134.0000	81.305
1132.0000	81.159
1130.0000	81.12
1128.0000	81.144
